# Dataset: Aluminum – Total reflectance
# Source: WIP
# Measurement Geometry: WIP
# Notes: Looking for source on of this data, will update if found
# Columns: WIP

0, 0.5363831505963487
6.1050061050062725, 0.5567083790434044
13.431013431013643, 0.5770377394742878
17.094017094017136, 0.5939706091990357
21.97802197802198, 0.6176758004169172
29.304029304029388, 0.6498494924890866
40.29304029304032, 0.6600389646074927
52.50305250305246, 0.6719246160870528
62.271062271062185, 0.6871860983536111
69.59706959706982, 0.6939790797658818
69.5970695970696, 0.7041313640298412
76.92307692307665, 0.6973879664234994
85.47008547008548, 0.6974168903102915
94.01709401709411, 0.7042140037063894
100.12210012210011, 0.7110028531348328
111.11111111111084, 0.7161161831212594
119.65811965811994, 0.7161451070080511
134.31013431013434, 0.7263469750779395
141.6361416361414, 0.7263717669809041
153.84615384615395, 0.731489228951158
163.61416361416374, 0.7365984269537571
174.60317460317435, 0.7383276621855304
184.37118437118457, 0.7434368601881293
194.13919413919425, 0.7451619634360751
216.117216117216, 0.7469283865222952
234.43223443223448, 0.7503744610343597
245.42124542124543, 0.7571798383981125
252.74725274725267, 0.7555125829237506
271.062271062271, 0.7724950364544275
274.7252747252748, 0.7691233376512565
280.8302808302807, 0.7725280923250466
323.5653235653237, 0.7726727117590061
334.5543345543345, 0.7727098996134529
345.5433455433455, 0.7812073243545326
357.7533577533579, 0.7880168337021131
387.0573870573869, 0.7881160013139709
398.04639804639777, 0.7796929522817848
405.3724053724054, 0.7898700284487088
427.3504273504272, 0.7899444041576025
454.2124542124543, 0.7934194025564584
467.6434676434675, 0.7968489491332131
504.2735042735043, 0.7918967665160558
525.0305250305248, 0.7851988207318158
533.5775335775338, 0.7936879815052406
543.3455433455435, 0.7886448952438802
559.2185592185594, 0.7954668005429427
570.2075702075704, 0.7887357988880832
588.5225885225886, 0.7921818734001475
603.174603174603, 0.7820791729421174
610.5006105006106, 0.7854880595997349
620.2686202686202, 0.7770608785837213
638.5836385836388, 0.7821990004731122
670.3296703296704, 0.7772302899206452
676.4346764346767, 0.7721748077078028
688.6446886446887, 0.7722161275460767
693.5286935286936, 0.773924702858713
711.8437118437118, 0.7706025878614711
715.5067155067158, 0.7536945100396879
730.1587301587302, 0.7571281886002699
741.1477411477413, 0.7520892343227367
749.6947496947497, 0.7571943003415085
759.4627594627597, 0.7572273562121281
771.6727716727717, 0.7657289129370348
804.6398046398044, 0.7776848081416611
836.3858363858365, 0.7913286187397863
881.5628815628813, 0.8134781180466459
901.0989010989007, 0.820312419297191
942.6129426129429, 0.8356813331432621
975.5799755799758, 0.8459451809705617
996.3369963369969, 0.8493995194502809
