# Dataset: Aluminum 6061 – Relative Reflectance Spectrum
# Source:
# Danica Žilková, Jiří Šilha, Pavel Vojtek, Julian Rodriguez-Villamizar, Julia de León,
# Pavol Matlovič, Katarína Sabolová, Thomas Schildknecht, Juraj Tóth, Robert László,
# Connecting laboratory and spectroscopic observations of aerospace materials to characterize the reflectivity of artificial space objects and debris in LEO regimes,
# Acta Astronautica,
# Volume 236,
# 2025,
# Pages 479–486,
# ISSN 0094-5765,
# https://doi.org/10.1016/j.actaastro.2025.07.003
# Figure/Table: Fig. 3a–b (GaAs solar cell spectrum)
# Measurement Geometry: direct illumination laboratory setup, sample facing light source and spectrograph
# Measurement Environment: laboratory; tungsten–halogen lamp; OceanOptics spectrometer
# Notes: gallium-arsenide (GaAs) solar cell; anti-reflection coated photovoltaic surface; reflectance measured relative to silicon reference and normalized (typically at 550 nm); relative reflectance (not DHR); data digitized from published figure
# Columns: wavelength_nm, relative_reflectance

422.6820510494011, 0.9257527062180079
423.08833586211176, 0.8854063231331526
423.0883358621118, 0.9566084565067112
424.073997242061, 0.8553787667815947
424.65096975715323, 0.8533187882856426
429.6513982212857, 0.8789460707120355
429.7650443227433, 0.9910188735071258
429.800220497004, 0.9120065572591378
430.63362524102604, 0.9513299328290518
431.8390856743437, 0.9713049410206309
436.0581971909555, 0.9349353864227575
436.5637552158219, 0.9057554055019676
436.95971674578715, 0.8774218468798691
440.1880153421364, 0.8616742203300721
441.83994260260874, 0.9231800646435465
442.55023073671845, 0.8928378263508749
444.5276729020799, 0.8700098548691946
449.75180474487104, 0.8531830173318672
449.86146326382135, 0.8745161099389829
450.7108950221515, 0.8952690979826585
454.65354054194825, 0.8317682636535356
455.40360481156813, 0.9027647278597603
456.9832856218282, 0.8834040084066308
461.65414039173385, 0.8422956700511876
464.0293439121968, 0.8731366541558915
464.263738996453, 0.8513406967637268
470.8424276945773, 0.8477352281854256
477.2290043432524, 0.8623327102091992
480.2807364206274, 0.837458055618824
486.1015476796567, 0.846299273097256
491.39279967425523, 0.8346202534350244
497.78223604509117, 0.8406485938011283
504.6578251832734, 0.8421553842649756
511.84594110046396, 0.8411250734245197
520.075812947682, 0.8384153590109369
527.1597532718697, 0.834030548414412
533.4102888520354, 0.8384153590109369
540.9109315482341, 0.8284436099689522
547.7865206864163, 0.8225019452729868
554.4835230937366, 0.8267713290737123
561.7877203859873, 0.8260048669967276
568.6216392869685, 0.8259506727084559
575.4972284251508, 0.8223738496825265
582.1644663773274, 0.81929832382311
589.6651090735262, 0.8174204917344972
596.3323470257028, 0.815978923666471
603.4787927056922, 0.8088361164722666
610.416887199676, 0.7998615423344803
617.1674656262549, 0.8061047243433751
623.973604369102, 0.8091504433442421
631.7709896635511, 0.8039404719221369
639.3047791393416, 0.8070997701862487
646.3496536161533, 0.8148069721825965
652.2597582406135, 0.8025232560927368
659.4367124871251, 0.8014955001258707
666.296675286357, 0.8007394898044812
673.4917362430808, 0.8053568431652263
680.9229285439445, 0.8029033199325639
688.4930216354785, 0.8042006983487642
695.6741925131354, 0.8013898212637408
702.1747495165075, 0.8041645688232498
709.6753922127064, 0.8040561802467064
717.1760349089052, 0.801395733367916
724.0516240470874, 0.8058298114992334
730.3021596272531, 0.8081207518670808
737.4902755444434, 0.8077142947050434
744.4439963773777, 0.8039342430980951
751.6164859556178, 0.8018450532852228
758.2420536705935, 0.8022027355878159
765.3051588761806, 0.8003315546163997
772.1807480143628, 0.7980701747694279
779.3688639315533, 0.8018613115717043
786.0881896802314, 0.7997474117440606
793.4846567834272, 0.7930434492508368
799.6831045670916, 0.7990101993332672
806.0725409379277, 0.7948689580444637
813.434282843456, 0.7905765827275015
819.6848184236217, 0.7934186156630983
826.8729343408122, 0.7930330620122514
835.2218640086048, 0.7986096542754051
841.1289635678822, 0.7987701527445172
850.3124427664334, 0.8031693646204427
856.6671539396016, 0.8042932802578947
864.0636210427976, 0.8089336661911556
870.6891887577733, 0.8015556557858523
877.1897457611456, 0.8101442832153163
884.8153991689476, 0.8261024167156162
891.2774913379803, 0.8340631407835825
896.2538792806508, 0.8406373248300747

