# Dataset: Solar Cell – Diffuse Hemispherical Reflectance (DHR)
# Source: 
# Jacqueline A. Reyes, Karin W. Fulford, Elena A. Plis, Ryan C. Hoffmann, Vanessa J. Murray, Heather M. Cowardin, Darren Cone, Dale C. Ferguson, Miles T. Bengtson, Jainisha R. Shah, Daniel P. Engelhart,
# Spectroscopic behavior of various materials in a GEO simulated environment,
# Acta Astronautica,
# Volume 189,
# 2021,
# Pages 576-583,
# ISSN 0094-5765,
# https://doi.org/10.1016/j.actaastro.2021.09.014.
# Figure/Table: Fig. 2a.
# Measurement Geometry: integrating-sphere setup, GEO-simulated environment
# Notes: pre-weathered, surface finish unknown, obtained with webplot digitizer
# Columns: wavelength_nm, DHR %

348.2915717539863, 24.635036496350374
351.7084282460137, 26.277372262773735
358.54214123006835, 27.55474452554745
365.37585421412297, 26.09489051094891
368.79271070615033, 24.452554744525557
370.50113895216407, 22.445255474452566
375.626423690205, 20.07299270072993
379.04328018223237, 17.700729927007306
387.58542141230066, 15.875912408759136
392.71070615034165, 14.051094890510962
396.127562642369, 12.043795620437953
401.25284738041, 9.854014598540148
408.08656036446473, 7.299270072992715
416.628701594533, 5.47445255474454
425.1708428246014, 4.0145985401459985
437.12984054669704, 4.0145985401459985
452.50569476082, 5.109489051094888
469.5899772209567, 5.83941605839417
483.25740318906605, 6.751824817518248
498.6332574031891, 7.116788321167896
517.4259681093395, 7.481751824817529
534.510250569476, 7.846715328467161
551.5945330296128, 7.664233576642342
568.6788154897495, 7.116788321167896
589.1799544419134, 6.751824817518247
607.9726651480637, 6.569343065693434
623.3485193621868, 5.656934306569359
643.8496583143508, 4.927007299270073
660.9339407744874, 4.19708029197081
681.4350797266516, 3.284671532846719
705.3530751708429, 2.737226277372269
725.8542141230068, 2.0072992700730086
744.6469248291571, 1.2773722627737243
761.7312072892939, 1.094890510948911
778.8154897494305, 0.729927007299284
801.0250569476083, 0.5474452554744655
823.2346241457858, 0.3649635036496556
847.1526195899771, 0.18248175182480994
869.3621867881549, 0.18248175182481385
891.5717539863325, 0.182481751824821
910.3644646924828, 0.36496350364965174
932.5740318906605, 0.5474452554744602
951.3667425968109, 0.36496350364964564
968.4510250569475, 1.2773722627737296
985.5353075170842, 2.5547445255474535
1000.9111617312072, 4.1970802919708206
1014.5785876993165, 6.2043795620437985
1023.1207289293848, 8.576642335766424
1031.6628701594532, 10.948905109489065
1036.7881548974942, 12.956204379562056
1041.9134396355353, 14.781021897810223
1047.0387243735763, 17.883211678832122
1050.4555808656037, 20.437956204379564
1055.5808656036447, 23.35766423357664
1058.997722095672, 25.729927007299292
1062.4145785876992, 28.467153284671536
1065.8314350797264, 30.474452554744524
1069.2482915717537, 32.481751824817515
1070.9567198177674, 34.85401459854016
1076.0820045558087, 37.04379562043796
1079.4988610478358, 39.23357664233577
1082.9157175398632, 42.153284671532845
1088.0410022779042, 45.07299270072992
1091.4578587699316, 48.17518248175185
1096.5831435079726, 50.912408759124105
1103.416856492027, 54.74452554744526
1108.5421412300684, 57.29927007299271
1117.0842824601366, 61.49635036496351
1129.0432801822321, 65.87591240875912
1137.5854214123005, 69.52554744525548
1151.2528473804098, 73.35766423357663
1161.5034168564916, 76.64233576642334
1178.5876993166285, 79.74452554744525
1193.9635535307516, 81.38686131386862
1212.756264236902, 82.66423357664233
1234.9658314350795, 83.3941605839416
1258.883826879271, 83.75912408759123
1284.5102505694758, 84.1240875912409
1310.1366742596808, 84.4890510948905
1335.7630979498858, 84.67153284671531
1354.555808656036, 84.67153284671531
1378.4738041002277, 84.85401459854015
1397.2665148063777, 85.03649635036494
1436.5603644646922, 85.03649635036497
1450.2277904328018, 85.40145985401459
1469.020501138952, 85.4014598540146
1480.9794988610477, 85.2189781021898
1506.6059225512527, 85.58394160583941
1528.8154897494305, 85.94890510948905
1554.4419134396353, 85.94890510948905
1578.3599088838264, 85.94890510948905
1602.2779043280182, 85.94890510948906
1627.904328018223, 85.76642335766422
1644.9886104783595, 86.13138686131387
1665.4897494305237, 86.13138686131386
1692.8246013667424, 86.13138686131384
1706.4920273348516, 86.31386861313868
1725.2847380410024, 85.94890510948905
1749.2027334851934, 86.13138686131387
1766.2870159453298, 86.67883211678833
1791.913439635535, 85.76642335766425
1812.414578587699, 85.40145985401463
1831.2072892938495, 85.94890510948905
1846.5831435079729, 85.03649635036496
